Location,Year,WeekNum,avg_price,median_price,std_price,years_count,avg_norm,risk_norm,HighPriceScore,Label,conf_score,Confidence
Anuradhapura,2010,1,40.0,40.0,44.64971,1,0.108517,0.687496,0.301683,WEAK,65.01524,Medium
Anuradhapura,2010,2,41.0,41.0,45.115887,1,0.112365,0.694673,0.323117,WEAK,64.959009,Medium
Anuradhapura,2010,3,41.0,41.0,43.710043,1,0.112365,0.673027,0.323117,WEAK,65.82487,Medium
Anuradhapura,2010,4,40.5,40.5,42.670715,1,0.110441,0.657024,0.310897,WEAK,66.34955,Medium
Anuradhapura,2010,5,35.333333,35.333333,36.419725,1,0.090559,0.560774,0.219952,WEAK,69.006624,Medium
Anuradhapura,2010,6,26.0,26.0,40.634354,1,0.054643,0.625669,0.017228,WEAK,64.255877,Medium
Anuradhapura,2010,7,24.666667,24.666667,38.078129,1,0.049513,0.586309,0.012019,WEAK,65.522409,Medium
Anuradhapura,2010,8,24.5,24.5,39.429288,1,0.048871,0.607114,0.011418,WEAK,64.651747,Medium
Anuradhapura,2010,9,26.5,26.5,40.060177,1,0.056567,0.616828,0.020032,WEAK,64.724957,Medium
Anuradhapura,2010,10,26.5,26.5,40.114859,1,0.056567,0.61767,0.020032,WEAK,64.691278,Medium
Anuradhapura,2010,11,29.38,29.38,40.40906,1,0.06765,0.6222,0.065705,WEAK,65.175036,Medium
Anuradhapura,2010,12,30.5,30.5,41.099914,1,0.07196,0.632837,0.118389,WEAK,65.008132,Medium
Anuradhapura,2010,13,32.0,32.0,41.073727,1,0.077732,0.632434,0.161058,WEAK,65.370592,Medium
Anuradhapura,2010,14,32.0,32.0,43.968422,1,0.077732,0.677005,0.161058,WEAK,63.587746,Medium
Anuradhapura,2010,15,31.875,31.875,47.363742,1,0.077251,0.729285,0.155849,WEAK,61.467702,Medium
Anuradhapura,2010,16,31.75,31.75,47.389649,1,0.07677,0.729684,0.154647,WEAK,61.422885,Medium
