district,location,season,planting_date,planting_month,field_size_ha,first_fert_date,second_fert_date,soil_type,soil_condition,soil_ph,soil_nitrogen_n,soil_phosphorus_p,soil_potassium_k,soil_fertility_index,n_status_class,p_status_class,k_status_class,seed_variety,irrigation_type,rainfall_condition,rainfall_30d_mm,seasonal_rainfall_mm,avg_temperature_c,max_temperature_c,avg_humidity_pct,sunshine_hours,yield_t_ha
Anuradhapura,Tambuttegama,Maha,3/1/2020,3,0.66,3/25/2020,4/20/2020,RBE,Poor,6.439,89.898,21.509,84.409,0.538,High,High,Low,GT 709,Irrigated,Low,486.201,867.303,26.501,33.798,73.201,6.75,5.5867
Monaragala,Buttala,Yala,3/1/2020,3,1.073,3/29/2020,4/17/2020,RBE,Medium,6.274,33.822,10.348,141.194,0.499,Low,Medium,Medium,GT 200,Mixed,Normal,270.041,615.57,28.179,33.58,77.3,7.486,4.3403
Anuradhapura,Horowpathana,Yala,3/1/2020,3,2.26,3/20/2020,4/24/2020,RBE,Medium,6.389,54.911,5.194,150.405,0.369,Medium,Low,Medium,GT 200,Mixed,Normal,317.407,598.391,28.597,32.499,63.1,6.529,4.3876
Ampara,Padiyathalawa,Yala,3/1/2020,3,2.63,3/30/2020,4/29/2020,LHG,Poor,6.977,74.803,20.691,204.344,0.67,Medium,High,High,Commando,Rainfed,High,468.004,622.009,28.599,31.304,70.099,8.8,4.4649
Monaragala,Wellawaya,Yala,3/1/2020,3,0.74,3/16/2020,4/6/2020,Alluvial,Good,6.459,46.245,2.69,87.512,0.179,Low,Low,Low,Jet 999,Irrigated,Normal,195.196,621.199,30.502,34.601,73.895,5.701,3.7739
Ampara,Padiyathalawa,Yala,3/2/2020,3,1.25,3/28/2020,4/17/2020,RYP,Good,6.171,102.192,4.104,285.291,0.711,High,Low,High,GT 200,Rainfed,Normal,284.507,568.994,29.999,35.203,59.403,7.895,6.5499
Ampara,Dehiattakandiya,Yala,3/3/2020,3,2.2,4/1/2020,4/15/2020,RBE,Medium,6.528,81.742,12.999,174.809,0.559,Medium,Medium,Medium,Pacific 808,Irrigated,Low,250.906,797.807,24.501,28.398,62.047,6.201,4.803
Ampara,Padiyathalawa,Yala,3/4/2020,3,1.42,3/26/2020,4/25/2020,RYP,Medium,6.01,108.901,3.891,284.993,0.601,High,Low,High,GT 200,Rainfed,Low,304.898,578.51,30.698,35.697,62.499,7.201,6.4009
Matale,Dambulla,Yala,3/4/2020,3,1.73,3/31/2020,4/30/2020,RBE,Medium,6.029,118.107,18.502,84.91,0.629,High,Medium,Low,Pacific 808,Mixed,Low,160.696,674.483,29.999,35.203,73.405,6.905,6.4429
Anuradhapura,Eppawala,Yala,3/5/2020,3,0.98,3/29/2020,4/28/2020,RBE,Medium,5.904,112.494,6.803,81.207,0.569,High,Low,Medium,Local Variety,Irrigated,High,184.804,720.006,31.403,36.401,76.202,7.955,4.6176
Matale,Pelwehera,Yala,3/5/2020,3,1.51,3/21/2020,4/25/2020,IBL,Good,7.199,77.526,30.495,245.092,0.741,Medium,High,High,GT 709,Mixed,Low,140.193,573.908,23.998,28.799,66.105,7.91,4.8188
Anuradhapura,Eppawala,Yala,3/5/2020,3,2.441,3/19/2020,4/3/2020,RBE,Medium,6.527,78.66,11.38,98.838,0.505,Medium,Medium,Low,Commando,Irrigated,Low,203.086,479.995,27.381,32.229,77.475,8.507,4.2766
Ampara,Dehiattakandiya,Yala,3/6/2020,3,2.46,4/3/2020,5/5/2020,RBE,Medium,6.741,73.697,14.299,177.092,0.604,Medium,Medium,Medium,Pacific 808,Irrigated,Normal,245.294,854.291,23.704,27.719,64.3,5.798,4.9902
Ampara,Padiyathalawa,Yala,3/6/2020,3,1.5,4/4/2020,5/7/2020,RYP,Good,5.93,117.633,5.11,271.11,0.721,High,Low,High,GT 200,Rainfed,Normal,280.49,608.705,30.654,36.898,63.999,6.701,6.5476
Badulla,Mahiyanganaya,Yala,3/6/2020,3,2.67,3/27/2020,4/25/2020,RYP,Medium,6.941,107.997,7.601,177.595,0.58,High,Low,Medium,Local Variety,Mixed,Normal,324.606,614.797,29.396,31.222,79.305,7.805,5.1906
Ampara,Padiyathalawa,Yala,3/6/2020,3,2.73,4/5/2020,5/3/2020,RBE,Good,6.182,110.978,12.707,66.401,0.609,High,Medium,Low,Jet 999,Mixed,Normal,233.903,782.303,30.998,35.099,78.007,5.802,6.3868
Matale,Dambulla,Yala,3/7/2020,3,2.87,4/4/2020,5/14/2020,RBE,Poor,6.47,50.391,20.521,211.735,0.549,Medium,High,High,Commando,Rainfed,Normal,211.904,635.9,30.497,35.903,75.306,5.203,5.3963
Matale,Pelwehera,Yala,3/7/2020,3,2.359,4/3/2020,4/30/2020,LHG,Poor,5.572,119.24,28.01,103.202,0.87,High,High,Medium,Pacific 808,Mixed,Normal,279.106,489.857,31.1,35.098,63.804,8.105,4.7472
Monaragala,Siyambalanduwa,Yala,3/8/2020,3,1.9,3/27/2020,4/21/2020,RBE,Medium,6.15,56.803,18.404,199.932,0.508,Medium,Medium,High,GT 709,Mixed,Normal,235.792,506.203,27.599,31.104,64.005,6.001,6.4538
Badulla,Mahiyanganaya,Yala,3/8/2020,3,2.74,4/1/2020,5/6/2020,RYP,Medium,7.168,106.296,6.305,189.107,0.62,High,Low,Medium,Local Variety,Mixed,Normal,350.399,641.972,29.697,30.897,76.738,6.905,4.9345
Matale,Dambulla,Yala,3/8/2020,3,1.97,4/3/2020,5/7/2020,RYP,Good,6.399,102.103,15.41,150.562,0.624,High,Medium,Medium,GT 200,Rainfed,Low,208.301,777.192,26.901,30.002,74.797,6.196,4.1308
Matale,Pelwehera,Yala,3/8/2020,3,1.51,3/31/2020,4/20/2020,IBL,Good,7.086,69.696,29.197,248.091,0.791,Medium,High,High,GT 709,Mixed,Low,187.193,532.692,24.203,27.597,65.599,8.096,4.78
Anuradhapura,Horowpathana,Yala,3/9/2020,3,1.37,4/7/2020,5/11/2020,RBE,Medium,6.93,73.894,5.505,120.813,0.51,Medium,Low,Medium,GT 200,Mixed,Low,186.003,774.797,31.197,34.201,67.198,9.054,4.001
Matale,Pelwehera,Yala,3/10/2020,3,1.14,3/27/2020,5/2/2020,RBE,Poor,6.06,108.31,2.108,188.994,0.555,High,Low,Medium,Pacific 808,Mixed,Low,265.599,741.594,31.599,37.398,62.303,8.4,5.2689
Anuradhapura,Horowpathana,Yala,3/10/2020,3,1.38,4/2/2020,4/15/2020,RBE,Medium,6.392,60.99,9.39,124.772,0.529,Medium,Low,Medium,GT 200,Mixed,Normal,219.901,679.004,30.902,33.898,61.105,9.298,4.0519
Monaragala,Thanamalwila,Yala,3/10/2020,3,2.85,4/1/2020,5/6/2020,RBE,Good,6.009,49.493,18.293,199.303,0.52,Low,Medium,Medium,Pacific 808,Rainfed,Low,226.505,680.806,27.701,31.703,71.306,7.623,6.0366
Ampara,Padiyathalawa,Yala,3/10/2020,3,1.42,4/9/2020,5/5/2020,RYP,Medium,6.341,63.707,20.795,59.49,0.54,Medium,High,Low,Commando,Rainfed,Normal,161.003,677.701,29.506,35.501,70.505,8.38,3.8733
Anuradhapura,Horowpathana,Yala,3/10/2020,3,1.24,4/6/2020,5/2/2020,RBE,Poor,6.44,67.793,7.895,108.553,0.52,Medium,Low,Medium,GT 200,Mixed,Low,222.701,702.981,29.9,34.703,62.501,8.496,3.7296
Ampara,Dehiattakandiya,Yala,3/11/2020,3,2.36,4/1/2020,5/5/2020,RYP,Poor,6.52,55.796,22.408,99.799,0.531,Medium,High,Low,Jet 999,Irrigated,High,177.162,793.798,26.463,31.597,75.1,9.096,5.8039
Ampara,Padiyathalawa,Yala,3/12/2020,3,1.636,3/29/2020,4/27/2020,RBE,Medium,6.326,41.734,10.137,220.481,0.577,Low,Low,High,Commando,Irrigated,Low,235.35,678.664,27.7,30.097,63.001,7.473,4.3933
Anuradhapura,Horowpathana,Yala,3/12/2020,3,2.55,4/6/2020,4/21/2020,RBE,Good,6.241,42.806,28.098,136.193,0.567,Low,High,Medium,GT 709,Irrigated,Low,144.696,568.197,24.1,27.799,84.3,7.098,4.243
Anuradhapura,Horowpathana,Yala,3/12/2020,3,1.9,4/1/2020,4/22/2020,RBE,Good,6.84,58.007,18.603,256.245,0.65,Medium,Medium,High,Local Variety,Mixed,Low,195.496,789.405,24.792,27.097,75.901,8.502,4.5274
Anuradhapura,Tambuttegama,Yala,3/12/2020,3,2.14,4/8/2020,5/11/2020,RBE,Medium,6.011,30.695,12.934,95.203,0.33,Low,Medium,Low,Pacific 808,Rainfed,Normal,244.095,637.743,26.501,29.304,64.096,6.099,2.5347
Monaragala,Wellawaya,Yala,3/12/2020,3,1.94,4/2/2020,4/27/2020,RBE,Medium,6.332,27.607,24.209,66.204,0.421,Low,High,Low,GT 200,Rainfed,Normal,328.196,543.804,24.098,27.404,63.196,6.294,3.9556
Anuradhapura,Horowpathana,Yala,3/12/2020,3,1.82,4/8/2020,5/5/2020,RYP,Good,5.719,99.885,14.904,210.295,0.678,High,Medium,High,Local Variety,Rainfed,Normal,259.796,713.307,25.699,27.703,62.306,7.394,4.46
Anuradhapura,Horowpathana,Yala,3/12/2020,3,1.62,4/10/2020,5/4/2020,RBE,Poor,5.929,96.004,15.193,102.956,0.57,High,Medium,Medium,Local Variety,Rainfed,Normal,403.789,694.592,28.297,31.5,63.997,6.903,4.4495
Ampara,Maha Oya,Yala,3/12/2020,3,2.76,3/30/2020,5/4/2020,RBE,Good,6.24,38.198,14.099,180.897,0.311,Low,Medium,Medium,GT 200,Rainfed,High,357.299,644.805,25.476,31.401,77.896,6.38,5.721
Anuradhapura,Tambuttegama,Yala,3/12/2020,3,2.49,4/5/2020,4/23/2020,RBE,Good,5.959,45.624,15.808,113.793,0.43,Low,Medium,Medium,GT 709,Rainfed,Normal,175.107,665.802,25.997,29.604,79.9,8.398,2.9821
Ampara,Dehiattakandiya,Yala,3/12/2020,3,2.18,4/7/2020,4/28/2020,RBE,Good,6.391,20.707,26.146,178.313,0.55,Low,High,Medium,Local Variety,Rainfed,Normal,239.494,555.71,26.597,28.899,61.206,8.396,3.3617
Anuradhapura,Horowpathana,Yala,3/12/2020,3,1.86,4/2/2020,4/23/2020,RYP,Poor,5.93,102.505,19.807,206.996,0.741,High,Medium,High,Local Variety,Rainfed,Low,249.198,734.407,25.698,28.792,66.362,7.8,4.589
Anuradhapura,Horowpathana,Yala,3/13/2020,3,1.15,4/6/2020,4/23/2020,RYP,Medium,5.991,114.891,24.207,230,0.838,High,High,High,Jet 999,Mixed,Low,165.303,735.356,29.244,31.197,80.299,6.295,5.6483
Monaragala,Siyambalanduwa,Yala,3/13/2020,3,1.29,4/5/2020,5/4/2020,RYP,Medium,6.01,55.804,16.697,131.498,0.489,Medium,Medium,Medium,Pacific 808,Rainfed,Normal,222.701,682.9,29.398,31.697,82.301,8.675,3.4924
Monaragala,Thanamalwila,Yala,3/13/2020,3,0.52,4/2/2020,4/28/2020,RBE,Medium,6.651,29.904,21.394,166.593,0.508,Low,High,Medium,Jet 999,Mixed,Normal,300.062,577.091,29.003,31.999,82.105,6.996,4.1081
Badulla,Mahiyanganaya,Yala,3/13/2020,3,1.13,4/4/2020,5/14/2020,RYP,Good,6.438,87.109,14.404,92.891,0.52,High,Medium,Low,GT 200,Rainfed,Normal,169.503,785.002,30.398,34.92,67.705,6.398,5.3015
Ampara,Padiyathalawa,Yala,3/14/2020,3,2.41,4/4/2020,4/26/2020,RYP,Medium,5.512,68.806,11.607,52.996,0.381,Medium,Medium,Low,Commando,Rainfed,Low,128.606,586.12,25.804,29.697,78.675,6.598,3.3124
Monaragala,Thanamalwila,Yala,3/14/2020,3,1.3,4/6/2020,5/12/2020,RBE,Medium,6.561,95.004,17.605,141.2,0.636,High,Medium,Medium,Commando,Irrigated,Low,257.993,621.197,26.302,29.002,73.753,6.697,4.8444
Anuradhapura,Eppawala,Yala,3/14/2020,3,2.16,4/9/2020,5/6/2020,RBE,Poor,6.14,80.908,7.596,276.108,0.612,Medium,Low,High,Commando,Rainfed,High,496.69,691.605,27.199,30.603,75.999,6.547,3.5982
Anuradhapura,Eppawala,Yala,3/14/2020,3,2.46,4/8/2020,5/9/2020,RBE,Good,6.16,22.804,28.083,291.901,0.699,Low,High,High,Jet 999,Rainfed,Normal,211.792,534.808,27.403,31.302,63.697,8.604,4.3496
Anuradhapura,Tambuttegama,Yala,3/14/2020,3,1.2,4/12/2020,5/9/2020,RBE,Medium,6.199,39.695,16.193,101.376,0.398,Low,Medium,Medium,Jet 999,Rainfed,Low,165.898,554.792,28.998,32.773,70.899,6.596,3.4038
Anuradhapura,Nochchiyagama,Yala,3/15/2020,3,1.38,4/8/2020,5/10/2020,RBE,Good,6.03,44.026,18.504,178.598,0.531,Low,Medium,Medium,Local Variety,Mixed,High,237.399,510.201,29.499,33.297,62.903,6.1,4.1541
Monaragala,Wellawaya,Yala,3/15/2020,3,0.61,4/14/2020,5/8/2020,RBE,Medium,6.421,115.508,18.305,81.792,0.582,High,Medium,Low,GT 200,Rainfed,Low,183.896,628.202,25.969,30.704,66.795,9.147,5.7579
Anuradhapura,Tambuttegama,Yala,3/15/2020,3,1.55,4/8/2020,5/6/2020,RBE,Good,6.079,48.71,29.093,264.896,0.752,Low,High,High,Pacific 808,Mixed,Low,136.998,797.296,29.996,32.997,63.603,6.505,4.7016
Monaragala,Buttala,Yala,3/15/2020,3,1.651,4/2/2020,4/20/2020,RBE,Medium,6.382,63.345,11.56,86.605,0.483,Medium,Medium,Low,GT 200,Mixed,Normal,258.631,664.296,29.645,33.135,70.456,8.15,4.0025
